,Title,Author,Age,Favorite,PublicDay,HashTag
0,참교육,채용택,RATE_15,881396,MONDAY,"액션,블루스트링,사이다,학원물,먼치킨,다크히어로"
1,뷰티풀 군바리,설이,RATE_15,782337,MONDAY,"드라마,직업드라마,밀리터리"
2,신의 탑,SIU,RATE_12,1965523,MONDAY,"판타지,세계관,이능력배틀물,소년왕도물,먼치킨"
3,똑 닮은 딸,이담,RATE_15,479175,MONDAY,"스릴러,2020지상최대공모전,서스펜스"
4,백수세끼,치즈,ALL,482453,MONDAY,"드라마,음식&요리,감성드라마"
5,퀘스트지상주의,박태준 만화회사,RATE_15,542404,MONDAY,"드라마,게임판타지,학원물"
6,장씨세가 호위무사,김인호,RATE_12,310006,MONDAY,"무협/사극,사이다,힘숨찐,판무,먼치킨,소설원작"
7,윈드브레이커,조용석,RATE_12,1149147,MONDAY,"스포츠,스포츠성장"
8,소녀의 세계,모랑지,ALL,1124723,MONDAY,"드라마,학원로맨스,하이틴,직진남,삼각관계,까칠남,감성드라마"
9,버림받은 왕녀의 은밀한 침실,혜니,RATE_18,287759,MONDAY,"로맨스,고자극로맨스,궁중로맨스,까칠남,소설원작,성인웹툰"
10,신화급 귀속 아이템을 손에 넣었다,정선율,RATE_15,295950,MONDAY,"판타지,아포칼립스,사이다,게임판타지,회귀,헌터물,소년왕도물,먼치킨,구원서사,소설원작"
11,우아한 욕망,김종건,RATE_18,66507,MONDAY,"로맨스,고자극로맨스,성인웹툰"
12,별난식당,HO9,ALL,108178,MONDAY,"드라마,지금추천작,힐링,직업드라마,음식&요리,성장드라마"
13,절대검감,김두루미,RATE_12,115492,MONDAY,"무협/사극,환골탈태,소설원작"
14,퍼니게임,배진수,RATE_15,87943,MONDAY,스릴러
15,만렙돌파,성불예정,RATE_15,247212,MONDAY,"판타지,고인물,게임판타지,먼치킨"
16,잔불의 기사,환댕,RATE_15,215756,MONDAY,"판타지,세계관,판무,복수극"
17,나 없는 단톡방,봉수,RATE_12,132917,MONDAY,"드라마,요즘핫한추천작,학원물"
18,순정말고 순종,슈안,RATE_15,507515,MONDAY,"로맨스,로맨스코미디,연예계,삼각관계"
19,리턴 투 플레이어,신성,RATE_15,238273,MONDAY,"판타지,아포칼립스,게임판타지,회귀,소년왕도물,먼치킨,소설원작"
20,물어보는 사이,성은,RATE_15,390575,MONDAY,"로맨스,아이돌,계약연애,직진남,인외존재,연예계,삼각관계,뱀파이어"
21,히어로메이커,빤쓰,ALL,82514,MONDAY,"판타지,히어로"
22,파견체,곽백수,RATE_12,17763,MONDAY,"판타지,sf,인외존재"
23,신군,규남,RATE_15,92267,MONDAY,"액션,소년왕도물"
24,천재 타자가 강속구를 숨김,황지성,ALL,62498,MONDAY,"스포츠,야구,소설원작"
25,루루라라 우리네 인생,현이씨,ALL,31708,MONDAY,"일상,무해한"
26,칼가는 소녀,오리,RATE_12,398401,MONDAY,"드라마,최강자전,2018최강자전,성장드라마,걸크러시,감성드라마"
27,결혼생활 그림일기,은꼼지,ALL,112032,MONDAY,일상
28,더블클릭,박수봉,ALL,166844,MONDAY,"액션,게임판타지,스포츠성장"
29,ㅋㅋ단편.zip,네이버웹툰 작가,ALL,8280,MONDAY,개그
30,컨트롤X,사이렌,RATE_12,32210,MONDAY,"로맨스,2022지상최대공모전,전남친,연예계,걸크러시"
31,앵무살수,김성진,RATE_15,224796,MONDAY,"판타지,판무"
